;Mean Scores
0;-0.004999999888241291
1;0.19500000309199095
2;0.04500000085681677
3;0.8950000135228038
4;0.8950000135228038
5;0.5950000090524554
6;0.4950000075623393
7;0.245000003837049
8;0.5950000090524554
9;0.04500000085681677
10;0.5450000083073974
11;-0.004999999888241291
12;0.9950000150129199
13;1.145000017248094
14;0.5450000083073974
15;0.19500000309199095
16;0.6950000105425715
17;0.245000003837049
18;0.09500000160187483
19;0.29500000458210707
20;0.04500000085681677
21;0.1450000023469329
22;0.8950000135228038
23;-0.004999999888241291
24;-0.004999999888241291
25;1.2950000194832683
26;0.9450000142678618
27;0.09500000160187483
28;1.095000016503036
29;0.1450000023469329
30;1.6450000246986747
31;0.7950000120326877
32;0.1450000023469329
33;0.9450000142678618
34;2.600000038743019
35;0.5950000090524554
36;0.09500000160187483
37;0.5950000090524554
38;0.7950000120326877
39;0.09500000160187483
40;0.09500000160187483
41;0.3450000053271651
42;1.045000015757978
43;0.7950000120326877
44;0.44500000681728125
45;0.1450000023469329
46;0.44500000681728125
47;-0.004999999888241291
48;0.29500000458210707
49;0.6950000105425715
50;0.04500000085681677
51;0.3450000053271651
52;0.7450000112876296
53;0.29500000458210707
54;0.5450000083073974
55;0.245000003837049
56;0.1450000023469329
57;0.245000003837049
58;0.4950000075623393
59;0.44500000681728125
60;0.3450000053271651
61;0.245000003837049
62;0.3950000060722232
63;0.5450000083073974
64;0.19500000309199095
65;0.9450000142678618
66;0.6450000097975135
67;0.44500000681728125
68;0.1450000023469329
69;0.09500000160187483
70;0.1450000023469329
71;0.5450000083073974
72;0.6450000097975135
73;0.29500000458210707
74;0.8950000135228038
75;1.2950000194832683
76;0.7450000112876296
77;1.5450000232085586
78;0.9450000142678618
79;0.44500000681728125
80;0.04500000085681677
81;1.5450000232085586
82;0.245000003837049
83;0.9950000159442425
84;0.5450000083073974
85;1.045000015757978
86;0.19500000309199095
87;0.5450000083073974
88;0.6950000105425715
89;0.09500000160187483
90;0.29500000458210707
91;0.5450000083073974
92;0.3450000053271651
93;0.1450000023469329
94;0.3950000060722232
95;0.19500000309199095
96;0.1450000023469329
97;0.3950000060722232
98;0.3950000060722232
99;0.1450000023469329
